,Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
0,109,60,rl,0.0,13517,pave,na,2,lvl,1,culdsac,1,sawyer,rrae,norm,1fam,2story,6,8,1976,2005,gable,compshg,hdboard,plywood,brkface,289.0,4,3,cblock,3,3,1,6,533.0,1,0.0,192.0,725.0,gasa,5,y,5,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,7,0,0,attchd,2,2.0,475.0,3,3,3,0,44,0,0,0,0,0,0,na,0,3,2010,wd ,130500
1,544,60,rl,43.0,11492,pave,na,2,lvl,1,culdsac,1,sawyerw,norm,norm,1fam,2story,7,5,1996,1997,gable,compshg,vinylsd,vinylsd,brkface,132.0,4,3,pconc,4,3,1,6,637.0,1,0.0,276.0,913.0,gasa,5,y,5,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,7,1,3,attchd,2,2.0,559.0,3,3,3,0,74,0,0,0,0,0,0,na,0,4,2009,wd ,220000
2,153,20,rl,68.0,7922,pave,na,1,lvl,1,inside,1,names,norm,norm,1fam,1story,5,7,1953,2007,gable,compshg,vinylsd,vinylsd,none,0.0,3,4,cblock,3,3,1,6,731.0,1,0.0,326.0,1057.0,gasa,3,y,5,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,7,0,0,detchd,1,1.0,246.0,3,3,3,0,52,0,0,0,0,0,0,na,0,1,2010,wd ,109000
3,318,60,rl,73.0,9802,pave,na,1,lvl,1,inside,1,timber,norm,norm,1fam,2story,5,5,2006,2007,gable,compshg,vinylsd,vinylsd,none,0.0,3,3,pconc,4,3,1,1,0.0,1,0.0,384.0,384.0,gasa,4,y,5,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,7,0,0,builtin,3,2.0,400.0,3,3,3,100,0,0,0,0,0,0,0,na,0,4,2010,wd ,174000
4,255,50,rl,82.0,14235,pave,na,2,lvl,1,inside,1,sawyerw,norm,norm,1fam,1.5fin,6,8,1900,1993,gable,compshg,wd sdng,plywood,none,0.0,3,3,pconc,2,4,1,1,0.0,1,0.0,676.0,676.0,gasa,3,y,5,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,7,0,0,detchd,1,2.0,484.0,3,3,1,0,59,0,0,0,0,0,0,na,0,3,2010,wd ,138500
5,138,20,rl,137.0,16492,pave,na,2,lvl,1,corner,1,names,posa,norm,1fam,1story,6,6,1966,2002,gable,compshg,brkface,plywood,none,0.0,4,3,cblock,3,3,1,5,247.0,3,713.0,557.0,1517.0,gasa,5,y,5,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,4,1,4,attchd,3,2.0,578.0,3,3,3,0,0,0,0,0,0,0,0,na,0,6,2010,wd ,190000
6,2827,180,rm,35.0,3675,pave,na,1,lvl,1,inside,1,edwards,norm,norm,twnhse,sfoyer,6,5,2005,2006,gable,compshg,vinylsd,vinylsd,brkface,82.0,3,3,pconc,4,3,4,6,547.0,1,0.0,0.0,547.0,gasa,4,y,5,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,7,0,0,basment,3,2.0,525.0,3,3,3,0,44,0,0,0,0,0,0,na,0,6,2006,new,140000
7,145,20,rl,0.0,12160,pave,na,2,lvl,1,inside,1,names,norm,norm,1fam,1story,5,5,1959,1959,hip,compshg,plywood,plywood,brkface,180.0,3,3,cblock,3,3,1,3,1000.0,1,0.0,188.0,1188.0,gasa,2,y,5,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,7,0,0,attchd,2,2.0,531.0,3,3,3,0,0,0,0,0,0,0,3,na,0,5,2010,cod,142000
8,1942,20,rl,0.0,15783,pave,na,1,lvl,1,inside,1,oldtown,artery,norm,1fam,1story,5,5,1952,1952,gable,compshg,wd sdng,wd sdng,none,0.0,3,3,cblock,3,3,1,3,292.0,1,0.0,632.0,924.0,gasa,3,y,5,924,0,0,924,0.0,0.0,1,0,2,1,3,6,7,0,0,detchd,1,1.0,420.0,3,3,3,0,324,0,0,0,0,0,3,shed,400,6,2007,wd ,112500
9,1956,60,rl,70.0,11606,pave,na,2,hls,1,inside,2,names,norm,norm,1fam,2story,5,5,1969,1969,gable,compshg,plywood,plywood,brkface,192.0,3,3,pconc,4,3,3,3,650.0,1,0.0,390.0,1040.0,gasa,3,y,5,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,7,2,3,attchd,1,2.0,504.0,3,3,3,335,0,0,0,0,0,0,0,na,0,9,2007,wd ,135000
10,1044,160,rm,21.0,1680,pave,na,1,lvl,1,inside,1,brdale,norm,norm,twnhs,2story,6,5,1971,1971,gable,compshg,hdboard,hdboard,brkface,232.0,3,3,cblock,3,3,1,5,387.0,1,0.0,96.0,483.0,gasa,3,y,5,483,504,0,987,0.0,0.0,1,1,2,1,3,4,7,0,0,detchd,1,1.0,264.0,3,3,3,0,0,0,0,0,0,0,0,na,0,7,2008,cod,85400
11,2752,20,rl,64.0,7488,pave,na,2,lvl,1,inside,1,collgcr,norm,norm,1fam,1story,7,5,2005,2005,gable,compshg,vinylsd,vinylsd,none,0.0,4,3,pconc,4,3,3,6,393.0,1,0.0,815.0,1208.0,gasa,5,y,5,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,7,0,0,attchd,2,2.0,632.0,3,3,3,105,58,0,0,0,0,0,0,na,0,2,2006,wd ,183600
